Disease,Demographics,Counts
10743008.0,female,20159
10743008.0,male,18951
10743008.0,non-binary,188
11381005.0,female,52181
11381005.0,male,46349
11381005.0,non-binary,1138
11654001.0,female,319
11654001.0,male,474
11654001.0,non-binary,8
129103003.0,female,24991
129103003.0,male,10201
129103003.0,non-binary,207
13746004.0,female,38164
13746004.0,male,39683
13746004.0,non-binary,1055
14669001.0,female,753
14669001.0,male,976
14669001.0,non-binary,1
15188001.0,female,23001
15188001.0,male,28061
15188001.0,non-binary,752
161712005.0,female,106469
161712005.0,male,52978
161712005.0,non-binary,1567
18193002.0,female,3495
18193002.0,male,4429
18193002.0,non-binary,160
18718003.0,female,4972
18718003.0,male,4831
18718003.0,non-binary,70
195967001.0,female,114053
195967001.0,male,116811
195967001.0,non-binary,1276
200936003.0,female,46448
200936003.0,male,35716
200936003.0,non-binary,407
21134002.0,female,334636
21134002.0,male,392627
21134002.0,non-binary,13088
22298006.0,female,215545
22298006.0,male,278053
22298006.0,non-binary,4373
233604007.0,female,113649
233604007.0,male,134803
233604007.0,non-binary,2651
23502006.0,female,11773
23502006.0,male,12031
23502006.0,non-binary,177
23919004.0,female,408
23919004.0,male,506
23919004.0,non-binary,7
24693007.0,female,21703
24693007.0,male,17538
24693007.0,non-binary,225
24700007.0,female,123410
24700007.0,male,53735
24700007.0,non-binary,724
25458004.0,female,245
25458004.0,male,304
25458004.0,non-binary,3
26889001.0,female,475
26889001.0,male,580
26889001.0,non-binary,1
26929004.0,female,68411
26929004.0,male,72948
26929004.0,non-binary,1113
29384001.0,female,10346
29384001.0,male,11435
29384001.0,non-binary,83
30811009.0,female,176
30811009.0,male,213
30811009.0,non-binary,5
31384009.0,female,2067
31384009.0,male,1741
31384009.0,non-binary,10
32398004.0,female,23468
32398004.0,male,26979
32398004.0,non-binary,314
32798002.0,female,25867
32798002.0,male,30016
32798002.0,non-binary,313
32914008.0,female,3647
32914008.0,male,3353
32914008.0,non-binary,28
34486009.0,female,7420
34486009.0,male,5524
34486009.0,non-binary,32
34840004.0,female,7733
34840004.0,male,13450
34840004.0,non-binary,72
3545003.0,female,3992
3545003.0,male,3960
3545003.0,non-binary,2
35489007.0,female,760575
35489007.0,male,899155
35489007.0,non-binary,32319
36971009.0,female,4964
36971009.0,male,5419
36971009.0,non-binary,66
3716002.0,female,7597
3716002.0,male,5951
3716002.0,non-binary,53
3723001.0,female,125929
3723001.0,male,124710
3723001.0,non-binary,1175
37340000.0,female,2138
37340000.0,male,2829
37340000.0,non-binary,29
39400004.0,female,6881
39400004.0,male,9311
39400004.0,non-binary,32
39621005.0,female,12412
39621005.0,male,12133
39621005.0,non-binary,59
396275006.0,female,32127
396275006.0,male,31781
396275006.0,non-binary,112
40733004.0,female,547813
40733004.0,male,573266
40733004.0,non-binary,17757
40930008.0,female,7497
40930008.0,male,5701
40930008.0,non-binary,33
4308002.0,female,28
4308002.0,male,42
43116000.0,female,22507
43116000.0,male,20240
43116000.0,non-binary,242
44054006.0,female,75117
44054006.0,male,72934
44054006.0,non-binary,271
46635009.0,female,3919
46635009.0,male,3818
46635009.0,non-binary,32
49049000.0,female,66388
49049000.0,male,83684
49049000.0,non-binary,1357
49601007.0,female,243100
49601007.0,male,261113
49601007.0,non-binary,1849
50829006.0,female,3984
50829006.0,male,4478
50829006.0,non-binary,45
52448006.0,female,151219
52448006.0,male,163121
52448006.0,non-binary,2892
52702003.0,female,7929
52702003.0,male,7260
52702003.0,non-binary,124
53741008.0,female,34168
53741008.0,male,42309
53741008.0,non-binary,67
54150009.0,female,5753
54150009.0,male,6163
54150009.0,non-binary,14
56317004.0,female,14266
56317004.0,male,13569
56317004.0,non-binary,126
56925008.0,female,30638
56925008.0,male,46822
56925008.0,non-binary,1567
57182000.0,female,22313
57182000.0,male,26140
57182000.0,non-binary,200
57406009.0,female,7944
57406009.0,male,8656
57406009.0,non-binary,53
59927004.0,female,49610
59927004.0,male,57417
59927004.0,non-binary,578
60862001.0,female,11045
60862001.0,male,13572
60862001.0,non-binary,109
6142004.0,female,132007
6142004.0,male,161228
6142004.0,non-binary,2797
61462000.0,female,71352
61462000.0,male,80704
61462000.0,non-binary,1428
61599003.0,female,2013
61599003.0,male,2420
61599003.0,non-binary,19
62315008.0,female,105809
62315008.0,male,107427
62315008.0,non-binary,1677
63102001.0,female,6775
63102001.0,male,7706
63102001.0,non-binary,61
6471006.0,female,522031
6471006.0,male,705826
6471006.0,non-binary,39760
68566005.0,female,17643
68566005.0,male,14893
68566005.0,non-binary,78
69322001.0,female,44515
69322001.0,male,55114
69322001.0,non-binary,1382
698247007.0,female,46014
698247007.0,male,51159
698247007.0,non-binary,134
69896004.0,female,47977
69896004.0,male,39396
69896004.0,non-binary,298
709044004.0,female,28893
709044004.0,male,32779
709044004.0,non-binary,78
73211009.0,female,398821
73211009.0,male,407680
73211009.0,non-binary,3218
73442001.0,female,165
73442001.0,male,144
74732009.0,female,452074
74732009.0,male,514463
74732009.0,non-binary,26410
75694006.0,female,15856
75694006.0,male,19019
75694006.0,non-binary,94
76376003.0,female,2682
76376003.0,male,759
76376003.0,non-binary,7
7973008.0,female,474
7973008.0,male,435
8357008.0,female,3975
8357008.0,male,4391
8357008.0,non-binary,211
86044005.0,female,9469
86044005.0,male,12506
86044005.0,non-binary,130
91302008,female,48459
91302008,male,51939
91302008,non-binary,254
9829001.0,female,523
9829001.0,male,623
9829001.0,non-binary,17
chagas disease,female,2936
chagas disease,male,2725
chagas disease,non-binary,21
covid-19,female,97676
covid-19,male,162974
covid-19,non-binary,1515
crohn’s disease,female,8274
crohn’s disease,male,8505
crohn’s disease,non-binary,64
endocarditis,female,8396
endocarditis,male,10861
endocarditis,non-binary,63
hepatitis b,female,34353
hepatitis b,male,36234
hepatitis b,non-binary,1618
hiv/aids,female,57823
hiv/aids,male,60255
hiv/aids,non-binary,9148
hypertension,female,248741
hypertension,male,252795
hypertension,non-binary,1231
menstruation,female,43492
menstruation,male,25316
menstruation,non-binary,1377
sarcoidoses,female,1198
sarcoidoses,male,1181
sarcoidoses,non-binary,3
syphilis,female,31106
syphilis,male,36185
syphilis,non-binary,3699
takotsubo cardiomyopathy,female,2319
takotsubo cardiomyopathy,male,1332
takotsubo cardiomyopathy,non-binary,16
tuberculoses,female,87368
tuberculoses,male,104174
tuberculoses,non-binary,2012
ulcerative colitis,female,12246
ulcerative colitis,male,12329
ulcerative colitis,non-binary,77
