Disease,Demographics,Counts
10743008.0,abatacept,2
10743008.0,abilify,6
10743008.0,acetaminophen,85
10743008.0,aciphex,6
10743008.0,adalimumab,22
10743008.0,adderall,26
10743008.0,adderall xr,3
10743008.0,afinitor,3
10743008.0,androgel,3
10743008.0,aripiprazole,12
10743008.0,aspirin,268
10743008.0,atazanavir,8
10743008.0,atorvastatin,12
10743008.0,atripla,5
10743008.0,avastin,3
10743008.0,avonex,1
10743008.0,benadryl,16
10743008.0,benicar,5
10743008.0,bevacizumab,5
10743008.0,budesonide,54
10743008.0,buprenorphine,11
10743008.0,capecitabine,6
10743008.0,castor oil,37
10743008.0,celebrex,24
10743008.0,celecoxib,17
10743008.0,cialis,74
10743008.0,complera,1
10743008.0,crestor,8
10743008.0,cymbalta,46
10743008.0,dabigatran,1
10743008.0,darunavir,2
10743008.0,denosumab,1
10743008.0,dexilant,2
10743008.0,dexlansoprazole,3
10743008.0,diovan,1
10743008.0,doxycycline,52
10743008.0,duloxetine,81
10743008.0,enbrel,15
10743008.0,esomeprazole,45
10743008.0,eszopiclone,9
10743008.0,etanercept,8
10743008.0,everolimus,6
10743008.0,evista,1
10743008.0,ezetimibe,8
10743008.0,fenofibrate,6
10743008.0,fentanyl,29
10743008.0,filgrastim,5
10743008.0,glatiramer,5
10743008.0,gravol,3
10743008.0,heparin,51
10743008.0,humalog,3
10743008.0,humira,23
10743008.0,hydrocodone bitartrate,4
10743008.0,hydrocortisone cream,2
10743008.0,ibuprofen,196
10743008.0,imatinib,15
10743008.0,infliximab,65
10743008.0,insulin,1088
10743008.0,insulin detemir,1
10743008.0,insulin lispro,1
10743008.0,isentress,5
10743008.0,janumet,1
10743008.0,januvia,4
10743008.0,lantus,5
10743008.0,levothyroxine,39
10743008.0,lidocaine,62
10743008.0,lipitor,19
10743008.0,liraglutide,8
10743008.0,lovaza,1
10743008.0,lunesta,8
10743008.0,lyrica,53
10743008.0,melatonin,214
10743008.0,memantine,8
10743008.0,methylphenidate,9
10743008.0,metoprolol,14
10743008.0,mometasone,1
10743008.0,namenda,7
10743008.0,nasonex,3
10743008.0,neulasta,2
10743008.0,neupogen,1
10743008.0,nexium,82
10743008.0,nicotine,199
10743008.0,novolog,3
10743008.0,omalizumab,5
10743008.0,orencia,1
10743008.0,oseltamivir,3
10743008.0,oxycodone,54
10743008.0,oxycontin,13
10743008.0,paracetamol,59
10743008.0,pegfilgrastim,1
10743008.0,pemetrexed,1
10743008.0,pepto bismol,8
10743008.0,pregabalin,97
10743008.0,prevnar 13,1
10743008.0,quetiapine,18
10743008.0,rabeprazole,15
10743008.0,raloxifene,1
10743008.0,raltegravir,2
10743008.0,rebif,1
10743008.0,remicade,25
10743008.0,renvela,1
10743008.0,restasis,3
10743008.0,reyataz,5
10743008.0,ritalin,20
10743008.0,rituximab,12
10743008.0,rivaroxaban,2
10743008.0,rosuvastatin,11
10743008.0,sensipar,1
10743008.0,seroquel xr,2
10743008.0,sildenafil,21
10743008.0,sitagliptin,2
10743008.0,solifenacin,12
10743008.0,stelara,3
10743008.0,stribild,1
10743008.0,suboxone,3
10743008.0,symbicort,3
10743008.0,synthroid,26
10743008.0,tadalafil,14
10743008.0,tamiflu,1
10743008.0,telaprevir,1
10743008.0,trastuzumab,7
10743008.0,triamcinolone,5
10743008.0,truvada,5
10743008.0,tylenol pm,2
10743008.0,ustekinumab,5
10743008.0,vaccines,190
10743008.0,valsartan,6
10743008.0,vesicare,2
10743008.0,viagra,104
10743008.0,victoza,2
10743008.0,vytorin,3
10743008.0,vyvanse,1
10743008.0,warfarin,49
10743008.0,xarelto,2
10743008.0,xeloda,3
10743008.0,xolair,2
10743008.0,zetia,1
11381005.0,abatacept,6
11381005.0,abilify,29
11381005.0,abiraterone,12
11381005.0,acetaminophen,157
11381005.0,aciphex,26
11381005.0,adalimumab,91
11381005.0,adderall,61
11381005.0,adderall xr,4
11381005.0,afinitor,4
11381005.0,androgel,55
11381005.0,aranesp,1
11381005.0,aripiprazole,26
11381005.0,aspirin,653
11381005.0,atazanavir,8
11381005.0,atorvastatin,36
11381005.0,atripla,3
11381005.0,avastin,8
11381005.0,avonex,6
11381005.0,benadryl,70
11381005.0,benicar,27
11381005.0,bevacizumab,43
11381005.0,budesonide,52
11381005.0,buprenorphine,10
11381005.0,capecitabine,17
11381005.0,castor oil,352
11381005.0,celebrex,43
11381005.0,celecoxib,23
11381005.0,cialis,465
11381005.0,cinacalcet,2
11381005.0,complera,1
11381005.0,copaxone,2
11381005.0,crestor,37
11381005.0,cymbalta,50
11381005.0,dabigatran,7
11381005.0,darunavir,9
11381005.0,denosumab,2
11381005.0,dexilant,3
11381005.0,dexlansoprazole,4
11381005.0,diovan,20
11381005.0,divalproex sodium,4
11381005.0,doxycycline,1319
11381005.0,duloxetine,18
11381005.0,enbrel,8
11381005.0,epoetin alfa,3
11381005.0,esomeprazole,29
11381005.0,etanercept,55
11381005.0,everolimus,45
11381005.0,evista,7
11381005.0,ezetimibe,14
11381005.0,fenofibrate,18
11381005.0,fentanyl,25
11381005.0,filgrastim,2
11381005.0,fingolimod,6
11381005.0,flovent hfa,1
11381005.0,fluticasone propionate,12
11381005.0,glatiramer,3
11381005.0,gravol,1
11381005.0,heparin,53
11381005.0,herceptin,8
11381005.0,humalog,1
