Disease,Demographics,Counts
10743008.0,abatacept,4
10743008.0,abilify,15
10743008.0,abiraterone,1
10743008.0,acetaminophen,165
10743008.0,aciphex,21
10743008.0,adalimumab,57
10743008.0,adderall,41
10743008.0,adderall xr,4
10743008.0,afinitor,3
10743008.0,androgel,4
10743008.0,aripiprazole,21
10743008.0,aspirin,488
10743008.0,atazanavir,14
10743008.0,atorvastatin,36
10743008.0,atripla,5
10743008.0,avastin,6
10743008.0,avonex,4
10743008.0,benadryl,33
10743008.0,benicar,7
10743008.0,bevacizumab,9
10743008.0,budesonide,80
10743008.0,buprenorphine,29
10743008.0,capecitabine,12
10743008.0,castor oil,83
10743008.0,celebrex,33
10743008.0,celecoxib,34
10743008.0,cialis,108
10743008.0,cinacalcet,2
10743008.0,complera,4
10743008.0,copaxone,1
10743008.0,crestor,10
10743008.0,cymbalta,75
10743008.0,dabigatran,3
10743008.0,darunavir,5
10743008.0,denosumab,1
10743008.0,dexilant,4
10743008.0,dexlansoprazole,7
10743008.0,diovan,1
10743008.0,doxycycline,93
10743008.0,duloxetine,137
10743008.0,enbrel,24
10743008.0,epoetin alfa,1
10743008.0,esomeprazole,75
10743008.0,eszopiclone,16
10743008.0,etanercept,21
10743008.0,everolimus,13
10743008.0,evista,5
10743008.0,ezetimibe,10
10743008.0,fenofibrate,11
10743008.0,fentanyl,56
10743008.0,filgrastim,8
10743008.0,fingolimod,4
10743008.0,fluticasone propionate,1
10743008.0,gilenya,1
10743008.0,glatiramer,8
10743008.0,gravol,7
10743008.0,heparin,101
10743008.0,herceptin,3
10743008.0,humalog,4
10743008.0,humira,44
10743008.0,hydrocodone bitartrate,4
10743008.0,hydrocortisone cream,4
10743008.0,ibuprofen,340
10743008.0,imatinib,25
10743008.0,infliximab,131
10743008.0,insulin,1826
10743008.0,insulin aspart,3
10743008.0,insulin detemir,4
10743008.0,insulin glargine,3
10743008.0,insulin lispro,3
10743008.0,isentress,5
10743008.0,janumet,3
10743008.0,januvia,7
10743008.0,lantus,12
10743008.0,levemir,2
10743008.0,levothyroxine,57
10743008.0,lidocaine,109
10743008.0,lipitor,39
10743008.0,liraglutide,18
10743008.0,lisdexamfetamine,1
10743008.0,lovaza,1
10743008.0,lunesta,15
10743008.0,lyrica,92
10743008.0,melatonin,328
10743008.0,memantine,23
10743008.0,methylphenidate,18
10743008.0,metoprolol,23
10743008.0,mometasone,1
10743008.0,namenda,11
10743008.0,nasonex,4
10743008.0,neulasta,2
10743008.0,neupogen,3
10743008.0,nexium,124
10743008.0,nexplanon,1
10743008.0,nicotine,338
10743008.0,novolog,4
10743008.0,omalizumab,7
10743008.0,orencia,2
10743008.0,oseltamivir,10
10743008.0,oxycodone,99
10743008.0,oxycontin,29
10743008.0,palivizumab,1
10743008.0,paracetamol,103
10743008.0,pegfilgrastim,2
10743008.0,pemetrexed,3
10743008.0,pepto bismol,15
10743008.0,pitocin,3
10743008.0,pradaxa,1
10743008.0,pregabalin,168
10743008.0,prevnar 13,2
10743008.0,prezista,2
10743008.0,quetiapine,30
10743008.0,rabeprazole,34
10743008.0,raloxifene,13
10743008.0,raltegravir,2
10743008.0,rebif,2
10743008.0,remicade,47
10743008.0,renvela,1
10743008.0,restasis,3
10743008.0,reyataz,6
10743008.0,ritalin,34
10743008.0,rituximab,27
10743008.0,rivaroxaban,4
10743008.0,rosuvastatin,16
10743008.0,sensipar,1
10743008.0,seroquel xr,5
10743008.0,sildenafil,41
10743008.0,sitagliptin,7
10743008.0,solifenacin,15
10743008.0,stelara,3
10743008.0,stribild,1
10743008.0,suboxone,8
10743008.0,symbicort,3
10743008.0,synthroid,46
10743008.0,tadalafil,24
10743008.0,tamiflu,4
10743008.0,telaprevir,1
10743008.0,trastuzumab,12
10743008.0,triamcinolone,11
10743008.0,truvada,6
10743008.0,tylenol pm,7
10743008.0,ustekinumab,12
10743008.0,vaccines,329
10743008.0,valsartan,20
10743008.0,vesicare,2
10743008.0,viagra,162
10743008.0,victoza,5
10743008.0,vytorin,8
10743008.0,vyvanse,2
10743008.0,warfarin,98
10743008.0,xarelto,3
10743008.0,xeloda,4
10743008.0,xolair,3
10743008.0,zetia,3
11381005.0,abatacept,15
11381005.0,abilify,86
11381005.0,abiraterone,18
11381005.0,acetaminophen,263
11381005.0,aciphex,60
11381005.0,adalimumab,158
11381005.0,adderall,99
11381005.0,adderall xr,9
11381005.0,afinitor,8
11381005.0,alimta,1
11381005.0,androgel,83
11381005.0,aranesp,1
11381005.0,aripiprazole,35
11381005.0,aspirin,985
11381005.0,atazanavir,15
11381005.0,atorvastatin,86
11381005.0,atripla,7
11381005.0,avastin,17
11381005.0,avonex,10
11381005.0,benadryl,135
11381005.0,benicar,52
11381005.0,bevacizumab,86
11381005.0,budesonide,73
11381005.0,buprenorphine,17
11381005.0,capecitabine,38
11381005.0,castor oil,538
11381005.0,celebrex,86
11381005.0,celecoxib,60
11381005.0,cialis,775
11381005.0,cinacalcet,3
11381005.0,complera,3
11381005.0,copaxone,2
11381005.0,crestor,67
11381005.0,cymbalta,104
11381005.0,dabigatran,11
11381005.0,darbepoetin alfa,2
11381005.0,darunavir,16
11381005.0,denosumab,6
11381005.0,dexilant,5
11381005.0,dexlansoprazole,5
11381005.0,diovan,39
11381005.0,divalproex sodium,7
11381005.0,doxycycline,1547
11381005.0,duloxetine,40
11381005.0,enbrel,17
11381005.0,epoetin alfa,5
11381005.0,epogen,1
11381005.0,esomeprazole,58
11381005.0,eszopiclone,6
11381005.0,etanercept,102
11381005.0,everolimus,65
11381005.0,evista,23
11381005.0,ezetimibe,23
11381005.0,fenofibrate,36
11381005.0,fentanyl,47
11381005.0,filgrastim,5
11381005.0,fingolimod,12
11381005.0,flovent hfa,3
11381005.0,fluticasone propionate,25
11381005.0,gilenya,1
11381005.0,glatiramer,7
11381005.0,gravol,4
11381005.0,heparin,107
11381005.0,herceptin,15
11381005.0,humalog,3
11381005.0,humira,38
11381005.0,hydrocodone bitartrate,2
11381005.0,hydrocortisone cream,116
11381005.0,ibuprofen,539
11381005.0,imatinib,42
11381005.0,infliximab,183
11381005.0,insulin,3889
11381005.0,insulin aspart,2
11381005.0,insulin detemir,3
11381005.0,insulin glargine,2
11381005.0,insulin lispro,4
